reaction_id,step_id,step_number,step_title,step_description,intermediate_id,electron_flow_ids,bond_changes,charge_changes,is_rate_determining,is_reversible
RXN_SN2_001,ST_SN2_01,1,Concerted Backside Nucleophilic Attack,Nucleophile lone pair attacks the electrophilic carbon from the rear while carbon-leaving group bond breaks simultaneously through a pentacoordinate transition state.,TS_SN2_PENTA,EF_SN2_01|EF_SN2_02,C-Nu formed; C-LG broken,Nu loses negative charge; LG gains negative charge,true,false
RXN_SN1_001,ST_SN1_01,1,Heterolytic Cleavage & Carbocation Formation,"Carbon-halogen bond undergoes rate-limiting heterolytic dissociation assisted by polar protic solvent, forming a planar sp2 carbocation and halide anion.",INT_CARBOCATION,EF_SN1_01,C-LG broken,Carbon gains +1 charge; LG gains -1 charge,true,true
RXN_SN1_001,ST_SN1_02,2,Nucleophilic Capture of Carbocation,"Weak nucleophile attacks the planar carbocation with equal probability from either the top or bottom face, leading to substitution with racemization.",INT_OXONIUM,EF_SN1_02,C-Nu formed,Nucleophile gains positive charge / carbon neutralized,false,false
RXN_E2_001,ST_E2_01,1,Concerted Anti-Periplanar Elimination,Strong base abstracts the beta-proton while the C-H bond pair collapses to form the C=C pi bond and the leaving group is expelled simultaneously.,,EF_E2_01|EF_E2_02|EF_E2_03,B-H formed; C-H broken; C=C pi formed; C-LG broken,Base neutralized; leaving group carries negative charge,true,false
RXN_E1_001,ST_E1_01,1,Carbocation Generation,Rate-determining heterolysis of leaving group yields a planar tertiary or resonance-stabilized carbocation intermediate.,INT_E1_CARBOCAT,EF_E1_01,C-LG broken,Carbon gains +1; leaving group gains -1,true,true
RXN_E1_001,ST_E1_02,2,Beta-Deprotonation to Form Alkene,Weak base or solvent removes a beta-proton; electrons cascade into the vacant p-orbital of the carbocation to form the most substituted (Zaitsev) alkene.,,EF_E1_02|EF_E1_03,C-H broken; C=C formed; Base-H formed,Carbocation neutralized,false,false
RXN_E1CB_001,ST_E1CB_01,1,Alpha-Deprotonation to Form Enolate/Carbanion,Base removes acidic alpha-proton adjacent to electron-withdrawing carbonyl group to generate a resonance-stabilized carbanion.,INT_E1CB_CARBANION,EF_E1CB_01,C-H broken; B-H formed,Substrate acquires negative charge,false,true
RXN_E1CB_001,ST_E1CB_02,2,Expulsion of Poor Leaving Group,"Carbanion lone pair electrons push inward to generate the conjugated C=C pi bond, expelling the beta-leaving group (e.g. OH-).",,EF_E1CB_02|EF_E1CB_03,C=C formed; C-OH broken,Hydroxide expelled with negative charge,true,false
RXN_ALDOL_001,ST_ALDOL_01,1,Enolate Ion Formation,"Hydroxide base deprotonates the alpha-carbon of aldehyde or ketone, forming a nucleophilic enolate in equilibrium.",INT_ENOLATE,EF_ALDOL_01|EF_ALDOL_02,C-H broken; C=C-O- formed,Enolate acquires negative charge on oxygen/alpha-carbon,false,true
RXN_ALDOL_001,ST_ALDOL_02,2,Nucleophilic Carbonyl Addition,Enolate alpha-carbon attacks the electrophilic carbonyl carbon of a second aldehyde molecule to form a beta-alkoxy intermediate.,INT_ALKOXIDE,EF_ALDOL_03|EF_ALDOL_04,C-C formed; C=O pi bond broken to C-O-,Negative charge resides on acceptor oxygen,true,true
