reaction_id,reaction_name,reaction_class,subclass,description,difficulty,conditions,solvent,temperature,major_product_rule,selectivity_notes,stereochemistry_notes,supported,source_reference
RXN_SN2_001,SN2 Bimolecular Nucleophilic Substitution,Nucleophilic Substitution,Bimolecular (SN2),Concerted backside nucleophilic displacement of a leaving group on sp3 carbon via a trigonal bipyramidal transition state.,Intermediate,"Strong unhindered nucleophile, polar aprotic solvent",Acetone / DMF / DMSO,Room Temperature (25°C),Nucleophile replaces leaving group with complete Walden inversion,Steric hindrance governs rate: Methyl > 1° > 2° >> 3° (unreactive),100% Inversion of stereochemical configuration at chiral carbon,true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 10"
RXN_SN1_001,SN1 Unimolecular Nucleophilic Substitution,Nucleophilic Substitution,Unimolecular (SN1),Stepwise substitution proceeding via rate-determining ionization to form a planar sp2 carbocation intermediate followed by nucleophilic capture.,Intermediate,"Weak neutral nucleophile, polar protic solvent",H2O / MeOH / EtOH,Moderate (25-50°C),Nucleophile captures carbocation at both faces,Carbocation stability governs rate: 3° > Allylic/Benzylic > 2° >> 1°,Racemization with slight excess of inversion due to ion-pair shielding,true,"Carey & Sundberg Advanced Organic Chemistry Part A, Ch. 4"
RXN_E2_001,E2 Bimolecular Elimination,Elimination,Bimolecular (E2),Concerted elimination of beta-hydrogen and alpha-leaving group requiring anti-periplanar periplanar orbital alignment.,Intermediate,"Strong base (e.g. NaOEt or t-BuOK), heat",EtOH / t-BuOH,Reflux (60-80°C),Small base yields Zaitsev (more substituted alkene); bulky base yields Hofmann alkene,Zaitsev rule dominates with small alkoxide bases,Strict anti-periplanar dihedral angle (180°) requirement,true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 17"
RXN_E1_001,E1 Unimolecular Elimination,Elimination,Unimolecular (E1),Stepwise elimination via rate-determining carbocation ionization followed by rapid deprotonation by weak base.,Intermediate,"Non-nucleophilic strong acid or weak base, polar protic solvent, heat",H2O / H2SO4,Elevated (80-100°C),Thermodynamic Zaitsev (most substituted and E-configured alkene),"E-isomer preferred over Z-isomer to minimize A-1,3 strain",Non-stereospecific; thermodynamic alkene isomer controls outcome,true,"Carey & Sundberg Advanced Organic Chemistry Part A, Ch. 5"
RXN_E1CB_001,E1cB Elimination (Conjugate Base),Elimination,Unimolecular Conjugate Base (E1cB),"Stepwise elimination initiated by deprotonation alpha to an electron-withdrawing group forming a stabilized carbanion, followed by poor leaving group expulsion.",Advanced,"Base + poor leaving group (OH, F) adjacent to electron-withdrawing carbonyl",H2O / EtOH,Room temperature to 50°C,"alpha,beta-unsaturated conjugated carbonyl compound",Requires acidic alpha-H and poor beta-leaving group,Yields conjugated (E)-alkene preferentially,true,"Smith, Organic Synthesis, 4th Ed., Ch. 2"
RXN_ALDOL_001,Aldol Addition Reaction,Carbonyl & Enolate,Aldol Addition,Base-catalyzed enolate generation and nucleophilic addition to an aldehyde or ketone carbonyl yielding a beta-hydroxy carbonyl.,Intermediate,"Dilute aqueous base (NaOH, KOH) or mild acid",H2O / EtOH,Low temperature (0-10°C),beta-hydroxy aldehyde or beta-hydroxy ketone,Kinetic vs thermodynamic enolate controlled by temperature and base bulk,Zimmmerman-Traxler transition state controls syn/anti diastereoselectivity,true,"Strategic Applications of Named Reactions in Organic Synthesis, p. 8"
RXN_ALDOL_COND_001,Aldol Condensation,Carbonyl & Enolate,Aldol Condensation,"Dehydration of aldol addition product via E1cB pathway yielding stable conjugated alpha,beta-unsaturated carbonyl.",Intermediate,Base or acid catalyst with heat,EtOH / H2O,Reflux (60-80°C),"alpha,beta-unsaturated aldehyde or ketone",Driven by conjugation thermodynamic stability,Predominantly (E)-alkene isomer,true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 16"
RXN_CLAISEN_001,Claisen Ester Condensation,Carbonyl & Enolate,Claisen Condensation,"Base-catalyzed condensation between two ester molecules possessing alpha-protons, yielding a beta-keto ester.",Advanced,Strong non-nucleophilic alkoxide matching ester alkoxy group (e.g. NaOEt for ethyl ester),EtOH / Toluene,Reflux (80°C),beta-keto ester,Final irreversible deprotonation of beta-keto ester drives equilibrium to completion,Planar enolate intermediate,true,"Strategic Applications of Named Reactions, p. 86"
RXN_DIECKMANN_001,Dieckmann Cyclization,Carbonyl & Enolate,Intramolecular Claisen,Intramolecular Claisen condensation of a dicarboxylic ester leading to 5- or 6-membered cyclic beta-keto esters.,Advanced,Matching sodium alkoxide base,EtOH / Toluene,Reflux (80°C),Cyclic beta-keto ester (5- or 6-membered ring),Favors 5- and 6-membered rings due to low ring strain,Cis/trans bridgehead controlled by ring size thermodynamics,true,"Kürti & Czakó, Named Reactions in Organic Synthesis, p. 138"
RXN_MICHAEL_001,Michael Conjugate Addition,Carbonyl & Enolate,"1,4-Conjugate Addition","Nucleophilic 1,4-addition of a stabilized carbon enolate (Michael donor) to an activated alpha,beta-unsaturated carbonyl (Michael acceptor).",Advanced,"Catalytic base (piperidine, Et3N, NaOEt)",EtOH / THF,25-50°C,"1,5-dicarbonyl compound","Soft nucleophiles favor soft beta-carbon (1,4-addition) over hard carbonyl carbon",Diastereoselectivity guided by enolate conformation and steric shielding,true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 15"
